Thread Size,Cable Type,Number of Lamps,Temperature Range,Dimmable,Box Type,Head Type,Enclosure,Wall Thickness,Beam Type,Packaging Type,Minimum Operating Temperature,Gauge Thickness,Color Temperature,Nominal Size,Hub Size,Humidity Range,Tensile Strength,Overall Length,Total Harmonic Distortion,Series,Duct Diameter,Housing Width,Flange Width,Price,Voltage Rating,Fixture Type,Hex Size,Motion Sensing,Gauge,Light Color,Low Lead Compliance,Flange Thickness,Rod Size,Sensor Type,Bolt Hole Size,Fan Motor Wattage,Strands,Average Life,Mounting Type,Element Material,url,On Hand,Current/Amps,Category,Insulation Material,Housing Material,Grille Material,Nipple Type,Slot Size,Power Rating,Insulated/Non-Insulated,Connection Type,Description,Flexibility,Operation Type,Number of Pieces,Diameter,Cable Tap,Humidity Sensing,Model,Cord Diameter,Details,Connector Type,ELEMENT MATERIAL,Finish,Abrasive Material,Liner Material,Amperage Rating,Shape,Form,Dielectric Strength,Blow-Off Size,Power Factor,Conduit Size,Capacity,Number of Knockouts,Adhesive Material,Hub Diameter,Timing Range,Cutout,Cord Size,Feed Type,BODY MATERIAL,Fixture Wattage,Pressure Rating,Short Circuit Current Rating,Tap Quantity,Drive Type,Flow Path,Mounting Orientation,Schedule Rating,Max. Pressure (PSI),Stages Heat,Composition,Number of Heads,Length,Element Size,Tongue Size,Supplier,Actuator,Hole Size,Grille Length,Media,Electrical Ratings,Start Type,Container Size,Specifications,Number of Hubs,Number of Gangs,Style,Orientation,Number of Cables,Number of Outlets,Cable Openings,Conductor Material,Sones,Specifications Met,Ballast Factor,Phase,Number of Poles,Head Size,Bolt Circle Diameter,Number of Holes,Angle,Construction,Conductor Type,Flow Rate,Terminal Type,Operation Mode,Supplemental Files,Lamp Base Type,KSCdirect Part #,Container Type,Body Material,Depth,Length Through Hub,Flammability Rating,Radius,Voltage,Lamp Wattage,Peak Surge Current,Insulation,Diameter - Thread Size,Width,Jacket Color,Control,Housing Finish,Flash Point,Ball Material,Fan Switching,Port Type,Bundle Diameter,Number of Ports,Tube Size,Roll Length,Manufacturer,Point Size,Family,Lamp Base,Point Type,TYPE,Number of Jaws,Dimensions,Plug Type,Roll Width,Drive Size,Specific Gravity,Type,Outside Diameter,Max Pressure,Knockout Size,Stud Size,Bar Length,Operation,UPC,Pipe Size,Standard Pack,Wire Type,Action,Module Type,Spring Type,Grit,Contact Configuration,Stem & Pin Material,Stages Cool,Min. Pressure (PSI),Material Type,Method of Manufacture,Resistance,AC Cable Size,Actuator Type,Width (In.),Air Flow Rate,Core Diameter,Ballast Type,Trade Size,NEMA Rating,Contact Form,Frequency Rating,Legend Color,Ceiling Opening,Number of Stages,Recommended Torque,Terminal Designations,Disc Material,Maximum Steady Load,THREAD TYPE,Pressure Class,Sensitivity,Bar Width,Coating Thickness,Domestic/Import,Incandescent Equivalent,Measurement System,Mounting,Shell Style,Grille Width,MFG Part #,Time Setting,Lamp Finish,Load Capacity,Contact Rating,Material,Thermostat Type,Class,Lighting Technology,Odor/Scent,Pipe Size NPT,Color Rendering Index (CRI),Nominal Discharge Current,Inlet to Outlet Length,Lamp Type,Operating Cycles,Number of Wires,Cord Length,Tab Size,Display Type,Thread Type,Designation,Tungsten Rating,Softgoods Material,Slot Spacing,Jacket Material,Trip Type,Environmental Conditions,End Style,Number of Conductors,Horsepower,Adhesion Strength,Cover Type,Barrel Type,Depth (In.),Grade,Hand Wheel Diameter,Minimum Starting Temperature,Power Source,Orifice Size,Top to Inlet Center,Tap Size,AC/DC,Conductor Size,Lock Mechanism,Light Output,Cable Size,Size,Housing Height,Wire Size,Actuation Type,Maximum Operating Temperature,Enclosure Type,Receptacle Type,Operational Mode,Fitting/Connector Type,Body Type,Color,Trim Material,Lumens,Seal Material,Suitable For Use With,Coil Voltage,Height (In.),Main/Run Size,Title,Control Range,Staple Size,Number of Bolt Holes,Housing Length,Backing Material,Ballast Load,Insulated,Wattage,Legend,Thickness,Insulation Type,Average Ft,THREAD SIZE,Bend Radius,Cleat Type,Differential,Inside Diameter,End Connection Type,Barrel Size,image,Height,Hub Type,ELEMENT SIZE,Run Size,Cable Entry Size,Temperature Rating,Working Pressure,Connection,Interrupt Rating
,,,,,,,,,,,,,,,,,,,,,,,,$1.60,,,,,,,,,,,,,,,,,https://kscdirect.com/item/LEV%2B84001/LEVITON_SS%2BWP%2B1G%2BSTD%2BSIZE%2BTGL,93,,Electrical,,,,,,,,,SS WP 1G STD SIZE TGL,,,,,,,,,"Description
Leviton®, 84001, Combination Wall Plate, Standard Size Traditional, 1 Gangs, 2-3/4 in W x 4-1/2 in H Size, 0.942 in H x 0.406 in W Toggle Switch Cutout, Surface Mounting, 0.19 in Thickness, 430 Stainless Steel, Brushed Smooth
Features:
Easy to clean, smooth finish, non-combustible
Accent any wall covering with a wide selection of colors and finishes
Round on edges to prevent injury and wall damage
Applications:
Commercial Applications
Standards/Approval:
UL Listed
CSA Certified
ANSI Specified
NEMA Standard
Warranty:
10 Years Limited",,,Brushed Smooth,,,,,,,,,,,,,,,0.942 in H x 0.406 in W Toggle Switch,,,,,,,,,,,,,,,,,,,LEVITON,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5040777,,LEV 84001,,,,,,,,,,,,,,,,,,,,,,,,LEVITON,,,,,,,,,,,,Standard Size Traditional,,,,,,,078477119181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Surface,,,84001,,,,,430 Stainless Steel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2-3/4 in W x 4-1/2 in H,,,,,,,,,,,,,,,,,,SS WP 1G STD SIZE TGL,,,,,,,,,,0.19 in,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=LEV%2084001&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,GB-3,,,,$6.57,300/600 VAC,,,,,,,,,,,,,,,,https://kscdirect.com/item/GB%2B10-003/GB%2BELECTRICAL%2BINC_GB%2B10-003%2BOrange%2BTwist-on%2BWire%2BConnector%2B%2528100%252FBOX%2529,44,,Electrical,,,,,,,,,GB 10-003 Orange Twist-on Wire Connector (100/BOX),,,,,,,,,"Description
Gardner Bender, 10-003, Twist-On Wire Connector, Threaded, Series: GB-3, Positive Grip Shell Style, Square Spring, Aluminum/Copper Wire, 22 to 14 AWG Wire, 300/600 VAC, Specifications: 13/64 in Top Dia, 105 deg C, Polypropylene Shell/Thermoplastic, Orange, Zinc Plated, 0.34375 in ID x 0.44 in OD x 0.84 in L Dimensions
Features:
Industry standard twist-on connector with top quality, performance and durability
Tight, square-wire spring makes quick, secure connections for positive continuity
(3) 20 AWG - (4) 16 AWG, (1) 20 AWG wire combinations
100/Carton
Designed to require fewer turns to reach required torque and meet or exceed UL pull out and dielectric test requirements
Square wire zinc plated spring instantly adjusts to the shape and size of the splice
Flame-retardant properties resist heat distortion up to 105 deg C/221 deg F
High dielectric shell features deep skirt design to prevent exposure of bare wire
Rated at 600 V max in building wire and at 1000 V max in lighting, fixtures/luminaries and signs
Copper to copper connections only
Tough, thermoplastic shell shields against environmental extremes
Connectors manufactured with high temperature rated plastic and inner spring with zinc plated, square profile steel wire
Resists chemical action from hydrocarbons, diluted acid or alkaline solutions
Color-coded for easy size selection
Applications:
For Air Conditioners, Ballasts, Ceiling Fans, Doorbells, Indoor Lighting, Large and Small Appliances, Switches and Thermostats
Standards/Approval:
cULus File Number 61X5 Listed
RoHS Compliant
UL94V-2 Flammability Rating, UL 486C Listed
Warranty:
1 Year",,,Zinc Plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB ELECTRICAL INC,,,,,,,,13/64 in Top Dia,,,,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=7850311,,GB 10-003,,,,,,,,,,,,,,,,,,,,,,,,GB ELECTRICAL INC,,,,,,,0.34375 in ID x 0.44 in OD x 0.84 in L,,,,,Threaded,,,,,,,032076100032,,,Aluminum/Copper,,,Square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Positive Grip,,10-003,,,,,Polypropylene Shell/Thermoplastic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22 to 14 AWG,,,,,,,,Orange,,,,,,,,GB 10-003 Orange Twist-on Wire Connector (100/BOX),,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=GB%2010-003&mdx=300,,,,,,105 deg C,,,
,,,,,,,,,,,,,,,,,20 in-lb,,,,,,,$11.90,600 VAC,,,,,,,,,,,,,,,,https://kscdirect.com/item/3M%2BSUPER%2B88/3M%2BELECTRICAL%2BPRODUCTS%2BDIV_Vinyl%2BElectrical%2BTape%2B3%252F4%2522%2Bx%2B66%2527,39,,Electrical,,,,,,,,,"Vinyl Electrical Tape 3/4"" x 66'",,,,,,,,,"Description
Scotch®, 7000006092, Tape, Premium Grade, 66 ft Length, 3/4 in Width, 8.5 mil Thickness, Black, Rubber Adhesive, PVC Backing, 600 VAC, 20 in-lb Tensile Strength, 200 deg F Maximum Operating, Specifications Met: ASTM D3005-99 Type II
Features:
The combination of the pressure sensitive, rubber resin adhesive and the PVC backing offers excellent electrical and mechanical protection
Provides high resistance to UV rays, abrasion, moisture, alkalis, acids, corrosion and varying weather conditions
Provides a protective jacket and electrical insulation for splices and cables
Applications:
Industrial Construction, Residential Construction, Maintenance and Repair Operations, Communications, Automotive and Marine, Irrigation, Commercial Construction, Mining, Appliance and Fixture, Wind Power, Solar and Utility Applications
Standards/Approval:
MIL-I-24391C
CSA 2.22
UL 510",,,,,,,,,,,,,,,Rubber,,,,,,,,,,,,,,,,,,,66 ft,,,3M ELECTRICAL PRODUCTS DIV,,,,,,,,,,,,,,,,,,ASTM D3005-99 Type II,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5781788,,3M SUPER 88,,,,,,,,,,,,3/4 in,,,,,,,,,,,,3M ELECTRICAL PRODUCTS DIV,,,,,,,,,,,,1-Sided Premium Grade,,,,,,,00054007061434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000006092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,200 deg F,,,,,,Black,,,,,,,,"Vinyl Electrical Tape 3/4"" x 66'",,,,,PVC,,,,,8.5 mil,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=3M%20SUPER%2088&mdx=300,,,,,,,,,
,,,,,,,,,,Reel,,,,,,,,,,,,,,$1.68,600 VAC,,,,,,,,,,,,65/30,,,,https://kscdirect.com/item/CORD%2BCOP%2BSO%2B12%252F3/COLEMAN%2BCABLE_COPPER%2B12%252F3%2BTYPE%2B%2527SOOW%2527%2BCORD%2B8223280408%2B-%2B55809406%2B%2B%2B%2528250%2527%2Brolls%2Bonly%2529,2207,,Electrical,EPDM,,,,,,,,COPPER 12/3 TYPE 'SOOW' CORD 8223280408 - 55809406   (250' rolls only),,,,,,,,,"Description
Royal® Cord, Type SOOW Portable, Reel Packaging, 600 VAC, 25 A, 3 Conductors, Bare Stranded Copper Conductor, 12 AWG Conductor, 0.595 in OD, 250 ft Length, 65/30 Strands, 1.61 Ohm Resistance, EPDM Insulation, Chlorinated Polyethylene Jacket, Black Jacket, -40 to 90 deg C
Features:
Manufactured with advanced synthetic rubber compounds
Excellent resistance to flame, deformation, ozone, oils, acids and chemicals
Oil-resistant insulation and jacket
18 AWG to 10 AWG fully annealed stranded bare copper class K stranding per ASTM B 174
Excellent abrasion, ozone, sunlight, chemical and oil-resistance and water resistant with high degree of flexibility
Remains flexible in cold weather environments
Premium grade oil-resistant ethylene propylene (EPDM) insulation
Water, sunlight, and oil resistant, flame-retardant Chlorinated polyethylene (CPE) jacket
Applications:
For motor leads, portable lights, battery chargers, portable stage lights and portable machinery
Standards/Approval:
UL 62 Listed
CSA Standard 22.2 No. 49 Certified
MSHA Flame Resistance
NEC 501.140 Class I Div. 2
NEC Article 400
RoHS Compliant",,,,,,25 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,250 ft,,,COLEMAN CABLE,,,,,,,,,,,,,,,,,,,,,,,,,,,Bare Stranded Copper,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=2198499,,CORD COP SO 12/3,,,,,,,,,,,,,Black,,,,,,,,,,,COLEMAN CABLE,,,,,,,,,,,,Type SOOW Portable,0.595 in,,,,,,029892435639,,,,,,,,,,,,,,1.61 Ohm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8223280408,,,,,,,,,,,,,,,,,,,,,,,,,Chlorinated Polyethylene,,,,3,,,,,,,,,,,,,,12 AWG,,,,,,,,,,,,,,,,,,,,,,COPPER 12/3 TYPE 'SOOW' CORD 8223280408 - 55809406   (250' rolls only),,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=CORD%20COP%20SO%2012%2F3&mdx=300,,,,,,-40 to 90 deg C,,,
,,,,,,,,,,,,,,,,,,,,,,,,$16.19,120/240 VAC,,,,,,,,,,,,,,Plug-On,,https://kscdirect.com/item/CH%2BCHF115/CUTLER-HAMMER%2BINC_TYPE%2BCHF%2BBREAKER%2B15A%2B%252F%2B1P%2B120%252F240V%2B10%2BKAIC,38,,Electrical,,,,,,,,Box Lug,TYPE CHF BREAKER 15A / 1P 120/240V 10 KAIC,,,,,,,,,"Description
EATON Circuit Breaker, Type CHF Standard, 120/240 VAC, 15 A, 10 kA Interrupt, Flag Trip, 1 Pole, 1 ph, Toggle Handle Actuator, Box Lug, (1) 14 to 8 AWG, (2) 14 to 10 AWG Copper/Aluminum Wire, Plug-On Mount, 60 to 75 deg C, 3 in L x 3/4 in W x 3 in H
Features:
One 14 to 8 AWG, (2) 14 to 10 AWG copper aluminum at 60 to 75 deg C wire
Easy to install
Easy to reset
Best in class performance
Circuit breaker is clearly marked identifying amperage, ratings and the brand
Trip flag visibly indicates breaker status
3/4 in per pole
Applications:
Circuit Protection, Residential Type CH Load Centers and Meter Breaker Panels, Light Commercial Distribution Panels, Pool Panels, Residential Transfer Switch Panels and Various OEM Applications
Standards/Approval:
BAA Compliant
UL 489
CSA C22.2 No 5
Warranty:
Limited Lifetime",,,,,,15 A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CUTLER-HAMMER INC,,,,,,,,,,,,,,,,,,,,1 ph,1,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=6004768,,CH CHF115,,,,,,,,,,,,,,,,,,,,,,,,CUTLER-HAMMER INC,,,,,,,3 in L x 3/4 in W x 3 in H,,,,,Type CHF Standard,,,,,,,786685361833,,,,,,,,,,,,,,,,Toggle Handle,,,,,,,,,,,,,,,,,,,,,,,,,,,CHF115,,,,,,,,,,,,,,,,,,,,,,,,,,Flag,,,,,,,,,,,,,,,,,,,,,,,"(1) 14 to 8 AWG, (2) 14 to 10 AWG Copper/Aluminum",,,,,,,,,,,,,,,,TYPE CHF BREAKER 15A / 1P 120/240V 10 KAIC,,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=CH%20CHF115&mdx=300,,,,,,60 to 75 deg C,,,10 kA
,,,,,,,,,,,,,,,,,18 lb,,,,,,,$2.61,,,,,,,,,,,,,,,,,https://kscdirect.com/item/GB%2B46-104UVB/GB%2BELECTRICAL%2BINC_GB%2B46-104UVB%2B4%2522%2BBLACK%2BCABLE%2BTIE%2B%2528100%252FBAG%2529,141,,Electrical,,,,,,,,,"GB 46-104UVB 4"" BLACK CABLE TIE (100/BAG)",,,,,,,,,"Description
Gardner Bender Miniature Cable Tie, Standard UV-Resistant, 4 in Length, 0.095 in Width, 0.035 in Thickness, 13/16 in Diameter Bundle, Lock Mechanism: Double Locking Teeth, 18 lb Tensile Strength, 32 to 185 deg F, Nylon 6.6, Black
Features:
Bent tip ensures easy insertion into the tie head
Easy ""slip"" during pull-thru due to smooth radiused edges
Finger grips on end provides secure grip to tighten
Applications:
Bundling Wire, Cable, Hoses and Ducts Applications
Standards/Approval:
cULus Listed Type 21
UL 94 V-2 Flammability Rating
UL File No. E125869 Recognized
Warranty:
1 year",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4 in,,,GB ELECTRICAL INC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GB 46-104UVB,,,,,,,,,,,,0.095 in,,,,,,,,13/16 in,,,,GB ELECTRICAL INC,,,,,,,,,,,,Standard UV-Resistant,,,,,,,032076881467,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46-104UVB,,,,,Nylon 6.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Double Locking Teeth,,,,,,,,,,,,,Black,,,,,,,,"GB 46-104UVB 4"" BLACK CABLE TIE (100/BAG)",,,,,,,,,,0.035 in,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=GB%2046-104UVB&mdx=300,,,,,,32 to 185 deg F,,,
,,,,,,,,,,,,,,,,,,,,TL Series,,,,$2.81,600 VAC,,,,,,,,,,,,,,,,https://kscdirect.com/item/NSI%2BTL4/NSI%2BINDUSTRIES%2BINC_%2528HP%2Bno%2Blonger%2Busing%2529%2B4%2BSTRD%2BCOPPER%2BLUG%2B%2528FLC-4%2529,633,,Electrical,,,,,,,,,(HP no longer using) 4 STRD COPPER LUG (FLC-4),,,,,,,,,"Description
NSI Terminal Lug, Series: TL Series, Copper Conductor, 14 to 4 AWG Conductor, 1/4 in Stud, 1 Bolt Holes, 0.617 in W x 0.096 in THK Tongue, 600 VAC, Specifications: 1 Pole, 1 Conductor, 0.248 in Hole Spacing, 0.278 in Hole Dia, 90 in-lb Torque, 90 deg C, Copper, Electro-Tin Plated, 1.25 in L x 0.537 in W x 0.553 in H Dimensions
Features:
Made from high conductivity copper alloy
Range taking
Reusable
Slotted wrench size
Applications:
For wire termination
Standards/Approval:
ARRA Compliant
Buy American Act Compliant
UL E155274/486B",,,Electro-Tin Plated,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.617 in W x 0.096 in THK,NSI INDUSTRIES INC,,,,,,,,"1 Pole, 1 Conductor, 0.248 in Hole Spacing, 0.278 in Hole Dia, 90 in-lb Torque",,,,,,,,,,,,,,,,,,,Copper,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=5296445,,NSI TL4,,,,,,,,,,,,,,,,,,,,,,,,NSI INDUSTRIES INC,,,,,,,1.25 in L x 0.537 in W x 0.553 in H,,,,,,,,,1/4 in,,,662381005717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TL4,,,,,Copper,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14 to 4 AWG,,,,,,,,,,,,,,,,,,,,,,(HP no longer using) 4 STRD COPPER LUG (FLC-4),,,1,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=NSI%20TL4&mdx=300,,,,,,90 deg C,,,
,,,,,,,,,,,,,,,,,,,,,,,,$0.77,,,,,,,,,,,,,,,,,https://kscdirect.com/item/UF%2BCOP%2B12%252F2WG/ENCORE%2BWIRE_COPPER%2BUF%2B12%252F2WG%2B%2528250%2527%2BCOIL%2529%2B%2B%2B102210800030,9410,,Electrical,,,,,,,,,COPPER UF 12/2WG (250' COIL)   102210800030,,,,,,,,,"COPPER UF 12/2WG (250' COIL)
Keywords: ENCORE UF COP 12/2WG  ENCORE WIRE LIMITED UNITTE00635          COPPER UF 12/2WG (250 COIL)
Category:
[0] => ELECTRICAL => WIRE, CABLE AND CORD => WIRE => COPPER WIRE => UF
[1] => SUPPLIER DIRECTORY => ENCORE WIRE LIMITED => ELECTRICAL => WIRE, CABLE AND CORD => WIRE => COPPER WIRE => UF
Kelly Legacy Part Number: 8090045",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ENCORE WIRE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,UF COP 12/2WG,,,,,,,,,,,,,,,,,,,,,,,,ENCORE WIRE,,,,,,,,,,,,,,,,,,,739373031051,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102210800030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COPPER UF 12/2WG (250' COIL)   102210800030,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$82.29,,,,,,,,,,,,,,,,,https://kscdirect.com/item/BOX%2BPVCE%2B12X12X6/KRALOY%2BMULTI%2BFITTINGS%2BCORP_12%2BX%2B12%2BX%2B6%2BPVC%2BJUNCT%2BBOX%2BKRAYLOY-278309,34,,Electrical,,,,,,,,,12 X 12 X 6 PVC JUNCT BOX KRAYLOY-278309,,,,,,,,,"12 X 12 X 6 PVC JUNCT BOX KRAYLOY 78251
View catalog page
Keywords: KRALMU BOX PVCE 12X12X6  KRALOY/MULTI FITTINGS CORP KRALMU78251          12 X 12 X 6 PVC JUNCT BOX KRAYLOY 78251
Category:
[0] => ELECTRICAL => CONDUIT FITTINGS => PVC FITTINGS => PVC JUNCTION BOXES
[1] => SUPPLIER DIRECTORY => KRALOY/MULTI FITTINGS CORP => ELECTRICAL => CONDUIT FITTINGS => PVC FITTINGS => PVC JUNCTION BOXES
Kelly Legacy Part Number: 8330765",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,KRALOY MULTI FITTINGS CORP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BOX PVCE 12X12X6,,,,,,,,,,,,,,,,,,,,,,,,KRALOY MULTI FITTINGS CORP,,,,,,,,,,,,,,,,,,,622454418868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JBX12126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 X 12 X 6 PVC JUNCT BOX KRAYLOY-278309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,SC Series,,,,$0.64,,,,,,,,,,,,,,,,,https://kscdirect.com/item/EGS%2BSC-50/Appleton-Emerson%2BIndustrial%2BAutomation_NEER%2BSC-50%2BSQUEEZE%2BCONNECTOR%2B-%2B1%252F2%2522,180,,Electrical,,,,,,,,,"NEER SC-50 SQUEEZE CONNECTOR - 1/2""",,,,,,,,,"Description
Appleton® NEER™ Squeeze Conduit Connector, Non-Insulated Throat Straight, Series: SC Series, 1/2 in Trade, Cable Openings: 0.88 to 1 in, For Use With: FMC, Die Cast Zinc, Metallic, Natural Finish, 1.5 in L x 1.35 in H Dimensions
Features:
Male hub NPS thread connection
Applications:
Used to terminate flexible metal conduit to a 1/2 in knockout in a dry locations box or enclosure
Standards/Approval:
RoHS Compliant
CSA C22.2 No. 18.3
CSA 208044
NEMA FB-1
UL 514B
UL File No. E32539",,,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appleton-Emerson Industrial Automation,,,,,,,,,,,,,,,0.88 to 1 in,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/file_download.php?vi=7247715,,EGS SC-50,,,,,,,,,,,,,,,,,,,,,,,,Appleton-Emerson Industrial Automation,,,,,,,1.5 in L x 1.35 in H,,,,,Non-Insulated Throat Straight,,,,,,,687855200504,,,,,,,,,,,,,,,,,,,,,1/2 in,,,,,,,,,,,,,,,,,,,,,,SC50,,,,,Die Cast Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metallic,,,,FMC,,,,"NEER SC-50 SQUEEZE CONNECTOR - 1/2""",,,,,,,,,,,,,,,,,,,,https://vdam.kdsi.net/digital_asset_manager/image_resize.php?cid=3&ic=EGS%20SC-50&mdx=300,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,$1.16,,,,,,,,,,,,,,,,,https://kscdirect.com/item/EGS%2B3890SLC/Appleton-Emerson%2BIndustrial%2BAutomation_3%252F8%2BIN%2B90%2BDEG%2BZINC%2BBOX%2BCONN,375,,Electrical,,,,,,,,,3/8 IN 90 DEG ZINC BOX CONN,,,,,,,,,"Description
O-Z/Gedney ETP™ SPEED-LOCK™ Connector, Single Snap-In, 3/8 in, 1/2 in Knockout, Cable Openings: 0.46 to 0.61 in Dia Cable, 90 deg, Die Cast Zinc, Natural, Metallic, 49 x 31.4 x 15 x 52.2 mm
Features:
Patented design installs in seconds without the use of tools or locknut
Significantly reduces labor
Single, duplex or 90 deg construction
Design eliminates loose component parts
Superior pullout protection
Easily removable for reuse
Integral red plastic insulated throat 105 deg C rated provides maximum protection for wire insulation
Concretetight when tapped
Applications:
Used to ground and secure MC, AC, MCI-A, MC-PCS and flexible metal conduit to boxes and enclosures in dry locations
Standards/Approval:
RoHS Compliant
UL 514B, E11852
CSA C22.2 No. 18",,,Natural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Appleton-Emerson Industrial Automation,,,,,,,,,,,,,,,0.46 to 0.61 in Dia Cable,,,,,,,,,,90 deg,,,,,,,,EGS 3890SLC,,,,,,,,,,,,,,,,,,,,,,,,Appleton-Emerson Industrial Automation,,,,,,,49 x 31.4 x 15 x 52.2 mm,,,,,Single Snap-In,,,1/2 in,,,,687855876914,,,,,,,,,,,,,,,,,,,,,3/8 in,,,,,,,,,,,,,,,,,,,,,,3890SLC,,,,,Die Cast Zinc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Metallic,,,,,,,,3/8 IN 90 DEG ZINC BOX CONN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
